Año;Periodo;Pensionados;Sexo
2023;Julio;552975;H
2023;Agosto;553542;H
2023;Septiembre;553976;H
2023;Octubre;554608;H
2005;Enero;384851;M
2005;Febrero;384040;M
2005;Marzo;385654;M
2005;Abril;386560;M
2005;Mayo;387029;M
2005;Junio;387517;M
2005;Julio;388438;M
2005;Agosto;388886;M
2005;Septiembre;389243;M
2005;Octubre;390268;M
2005;Noviembre;391140;M
2005;Diciembre;392365;M
2006;Enero;392928;M
2006;Febrero;392918;M
2006;Marzo;394377;M
2006;Abril;395480;M
2006;Mayo;396327;M
2006;Junio;396711;M
2006;Julio;397757;M
2006;Agosto;398463;M
2006;Septiembre;398656;M
2006;Octubre;399625;M
2006;Noviembre;400553;M
2006;Diciembre;401580;M
2007;Enero;402014;M
2007;Febrero;402341;M
2007;Marzo;402970;M
2007;Abril;403996;M
2007;Mayo;404668;M
2007;Junio;405564;M
2007;Julio;406223;M
2007;Agosto;407013;M
2007;Septiembre;407404;M
2007;Octubre;408595;M
2007;Noviembre;409543;M
2007;Diciembre;410775;M
2008;Enero;411285;M
2008;Febrero;411723;M
2008;Marzo;413007;M
2008;Abril;413697;M
2008;Mayo;414271;M
2008;Junio;415554;M
2008;Julio;416356;M
2008;Agosto;417315;M
2008;Septiembre;417906;M
2008;Octubre;419061;M
2008;Noviembre;420265;M
2008;Diciembre;421396;M
2009;Enero;421982;M
2009;Febrero;422425;M
2009;Marzo;423917;M
2009;Abril;425084;M
2009;Mayo;425317;M
2009;Junio;426579;M
2009;Julio;428038;M
2009;Agosto;429062;M
2009;Septiembre;429491;M
2009;Octubre;430727;M
2009;Noviembre;431633;M
2009;Diciembre;432669;M
2010;Enero;433496;M
2010;Febrero;433799;M
2010;Marzo;435080;M
2010;Abril;436262;M
2010;Mayo;436874;M
2010;Junio;437808;M
2010;Julio;438896;M
2010;Agosto;439812;M
2010;Septiembre;440363;M
2010;Octubre;441528;M
2010;Noviembre;442379;M
2010;Diciembre;443474;M
2011;Enero;444085;M
2011;Febrero;444910;M
2011;Marzo;446062;M
2011;Abril;447062;M
2011;Mayo;447112;M
2011;Junio;448273;M
2011;Julio;449232;M
2011;Agosto;449937;M
2011;Septiembre;450427;M
2011;Octubre;451383;M
2011;Noviembre;452120;M
2011;Diciembre;453076;M
2012;Enero;453488;M
2012;Febrero;453930;M
2012;Marzo;455041;M
2012;Abril;455251;M
2012;Mayo;456116;M
2012;Junio;456549;M
2012;Julio;457600;M
2012;Agosto;458530;M
2012;Septiembre;459000;M
2012;Octubre;460235;M
2012;Noviembre;461963;M
2012;Diciembre;463162;M
2013;Enero;463665;M
2013;Febrero;464005;M
2013;Marzo;465056;M
2013;Abril;465952;M
2013;Mayo;466632;M
2013;Junio;468134;M
2013;Julio;469361;M
2013;Agosto;470278;M
2013;Septiembre;470746;M
2013;Octubre;471894;M
2013;Noviembre;473240;M
2013;Diciembre;474461;M
2014;Enero;475219;M
2014;Febrero;475427;M
2014;Marzo;476402;M
2014;Abril;477553;M
2014;Mayo;477851;M
2014;Junio;478921;M
2014;Julio;480041;M
2014;Agosto;481109;M
2014;Septiembre;481618;M
2014;Octubre;482925;M
2014;Noviembre;484428;M
